 Temp.     Deff        IWC         V_mass      N          Dmean   Beff     2/Qabs(12)_eff
(deg. C)   (um)      (g/cm3)       (cm/s)    (#/cm3)      (cm)

 -22.0   118.6181   0.89680E-08    71.930   0.2329E-02   .02650   1.0303   1.9220
 -21.0   102.3550   0.50651E-07    54.852   0.2635E-01   .02022   1.0302   1.9209
 -20.0   149.8954   0.45452E-07   105.564   0.5863E-02   .03026   1.0306   1.9223
 -20.0   143.6156   0.24382E-07    98.957   0.3655E-02   .02972   1.0306   1.9222
 -12.0   149.9811   0.26248E-07   103.343   0.2575E-02   .03815   1.0306   1.9225
  -5.0   119.4724   0.67679E-07    72.977   0.1399E-01   .02977   1.0303   1.9223
  -5.0   126.6706   0.91361E-07    83.366   0.1894E-01   .02794   1.0304   1.9221
  -5.0   131.8632   0.94298E-07    89.328   0.1759E-01   .02832   1.0304   1.9223
  -4.0   139.7947   0.58422E-07    98.631   0.1157E-01   .02483   1.0306   1.9219
  -4.0   145.5953   0.16638E-06   102.549   0.2113E-01   .03309   1.0305   1.9225
