 Temp.     Deff        IWC         V_mass      N          Dmean   Beff     2/Qabs(12)_eff
(deg. C)   (um)      (g/cm3)       (cm/s)    (#/cm3)      (cm)

 -54.0    66.1448   0.21273E-07    21.993   0.1689E+00   .00544   1.0463   1.8751
 -54.0    75.7678   0.17417E-07    26.254   0.3550E-01   .01283   1.0308   1.9142
 -48.0    63.5398   0.23375E-07    21.090   0.2501E+00   .00522   1.0491   1.8656
 -41.0    77.9186   0.27475E-07    29.951   0.7233E-01   .01021   1.0325   1.9102
 -39.0    93.0235   0.88317E-07    45.644   0.1049E+00   .01313   1.0313   1.9165
 -28.0   112.4584   0.36404E-07    63.986   0.9571E-02   .02960   1.0302   1.9222
 -35.0    93.1256   0.21258E-07    44.993   0.2483E-01   .01328   1.0311   1.9171
 -37.0   119.9542   0.30880E-06    75.601   0.8502E-01   .02621   1.0303   1.9219
 -36.0   121.4989   0.66263E-06    77.989   0.1925E+00   .02476   1.0303   1.9218
 -36.0   119.3174   0.26686E-06    76.214   0.8403E-01   .02401   1.0303   1.9216
 -35.0   118.6556   0.26321E-06    75.525   0.1001E+00   .01976   1.0305   1.9209
 -34.0   115.5883   0.43572E-06    72.270   0.1926E+00   .01829   1.0306   1.9205
 -34.0   113.3740   0.26848E-06    69.295   0.1181E+00   .01925   1.0305   1.9207
 -19.0   106.4675   0.10436E-06    59.973   0.4796E-01   .02202   1.0302   1.9212
 -16.0   147.3923   0.44924E-06   105.741   0.7740E-01   .02704   1.0305   1.9221
 -13.0   144.9333   0.24877E-06   101.968   0.4278E-01   .02779   1.0305   1.9221
 -10.0   147.6044   0.29947E-06   104.575   0.4891E-01   .02802   1.0305   1.9222
 -46.0    65.1197   0.15300E-06    26.313   0.1798E+01   .00430   1.0571   1.8479
 -46.0    55.3082   0.25745E-07    18.189   0.5519E+00   .00389   1.0694   1.8185
 -43.0    86.4338   0.55544E-07    39.579   0.8933E-01   .01050   1.0326   1.9114
 -43.0    75.6017   0.13205E-06    33.873   0.6642E+00   .00596   1.0414   1.8850
 -43.0    73.7811   0.14112E-06    32.399   0.7765E+00   .00585   1.0420   1.8829
 -46.0    77.4062   0.33794E-07    29.546   0.8343E-01   .00925   1.0335   1.9079
 -48.0    77.3644   0.29727E-07    28.497   0.5788E-01   .01103   1.0316   1.9130
 -48.0    75.9818   0.33414E-07    27.482   0.7293E-01   .01049   1.0318   1.9116
 -49.0    75.1552   0.72199E-08    28.507   0.2478E-01   .00796   1.0363   1.9002
 -46.0    71.5296   0.87745E-08    22.895   0.2766E-01   .01033   1.0326   1.9090
 -38.0    60.3556   0.99987E-08    16.384   0.1023E+00   .00567   1.0478   1.8684
 -38.0    74.8459   0.10515E-07    24.937   0.1978E-01   .01439   1.0301   1.9168
 -38.0    79.5219   0.12228E-07    29.077   0.1582E-01   .01636   1.0297   1.9190
 -38.0    84.2823   0.12703E-07    33.780   0.1241E-01   .01771   1.0298   1.9199
 -34.0   100.4228   0.16431E-07    50.783   0.6671E-02   .02524   1.0299   1.9217
 -34.0    97.2285   0.28660E-07    47.062   0.1300E-01   .02433   1.0299   1.9215
 -34.0    91.6755   0.35453E-07    42.028   0.2392E-01   .02062   1.0298   1.9208
 -31.0   100.1355   0.99675E-07    51.770   0.4794E-01   .02310   1.0299   1.9214
 -30.0   110.9675   0.96382E-07    61.977   0.2479E-01   .02995   1.0302   1.9222
 -29.0   116.7409   0.96737E-07    68.291   0.2026E-01   .03288   1.0302   1.9224
 -28.0   112.9365   0.82946E-07    64.041   0.1976E-01   .03118   1.0302   1.9223
 -27.0   112.7227   0.12253E-06    63.743   0.2879E-01   .03155   1.0302   1.9223
 -27.0   113.7336   0.90883E-07    65.045   0.2057E-01   .03194   1.0302   1.9223
 -26.0   108.6396   0.90948E-07    59.479   0.2489E-01   .02987   1.0301   1.9222
 -27.0   106.3751   0.40243E-07    57.045   0.1206E-01   .02883   1.0300   1.9221
 -27.0   114.7437   0.33540E-07    66.104   0.7414E-02   .03195   1.0302   1.9224
 -26.0   120.5253   0.45669E-07    72.551   0.8404E-02   .03447   1.0303   1.9225
 -25.0   118.3755   0.31914E-07    70.463   0.6660E-02   .03252   1.0303   1.9223
 -36.0    79.0633   0.53753E-07    29.551   0.9560E-01   .01298   1.0309   1.9155
 -42.0    70.1934   0.35478E-07    24.356   0.1707E+00   .00734   1.0374   1.8945
 -56.0    52.3202   0.37591E-08    13.582   0.6599E-01   .00428   1.0648   1.8272
 -55.0    43.0484   0.98039E-08     8.550   0.3576E+00   .00342   1.0940   1.7683
 -52.0    71.7368   0.43035E-07    27.896   0.2137E+00   .00667   1.0395   1.8892
 -50.0    72.7894   0.57576E-07    29.106   0.2962E+00   .00637   1.0406   1.8879
 -50.0    73.3581   0.69598E-07    29.618   0.3607E+00   .00618   1.0413   1.8871
 -36.0    97.5794   0.27165E-07    50.790   0.1959E-01   .01814   1.0303   1.9197
 -36.0   103.0528   0.68929E-07    56.330   0.4006E-01   .01901   1.0304   1.9201
 -41.0    88.0176   0.57821E-07    43.470   0.1194E+00   .00977   1.0333   1.9100
 -41.0    84.8597   0.74064E-07    43.039   0.2549E+00   .00723   1.0372   1.8989
 -41.0    87.2766   0.39457E-07    44.855   0.1218E+00   .00736   1.0373   1.9006
 -41.0    84.2359   0.47228E-07    36.557   0.8188E-01   .01180   1.0317   1.9140
 -46.0    74.5734   0.56379E-07    28.366   0.2258E+00   .00785   1.0365   1.8996
 -46.0    66.4688   0.46561E-07    25.973   0.5019E+00   .00471   1.0524   1.8601
 -46.0    63.4643   0.56900E-07    25.374   0.7519E+00   .00447   1.0565   1.8480
 -46.0    77.5698   0.99004E-07    33.769   0.4460E+00   .00683   1.0390   1.8943
 -49.0    65.4785   0.72285E-07    27.987   0.8984E+00   .00446   1.0562   1.8499
 -52.0    72.1211   0.75471E-07    28.776   0.4704E+00   .00608   1.0421   1.8847
 -52.0    60.5285   0.36022E-07    21.467   0.5325E+00   .00444   1.0578   1.8444
 -46.0    79.7974   0.45389E-07    35.818   0.1897E+00   .00680   1.0390   1.8952
 -55.0    51.4057   0.10061E-07    12.402   0.1850E+00   .00426   1.0641   1.8253
 -55.0    56.2902   0.52406E-08    13.939   0.5807E-01   .00535   1.0489   1.8569
