 Temp.     Deff        IWC         V_mass      N          Dmean   Beff     2/Qabs(12)_eff
(deg. C)   (um)      (g/cm3)       (cm/s)    (#/cm3)      (cm)

 -64.0    15.1180   0.17532E-08     2.091   0.1589E+01   .00118   1.5908   1.5602
 -65.0    16.4280   0.15559E-08     2.375   0.1205E+01   .00121   1.5474   1.5685
 -65.0    17.0778   0.10631E-08     2.344   0.7479E+00   .00124   1.5175   1.5682
 -48.0    48.3078   0.97887E-09    10.783   0.5715E-01   .00230   1.1105   1.8183
 -55.0    35.5514   0.24309E-08     6.422   0.3306E+00   .00182   1.1924   1.7263
 -63.0    21.1058   0.20076E-08     3.240   0.9339E+00   .00134   1.4163   1.5983
 -64.0    26.9570   0.43039E-08     4.211   0.1090E+01   .00156   1.2862   1.6453
 -62.0    23.5551   0.34769E-08     3.590   0.1237E+01   .00143   1.3520   1.6139
 -62.0    24.4857   0.20230E-08     3.832   0.6960E+00   .00143   1.3469   1.6262
 -62.0    21.6499   0.16667E-08     3.235   0.7297E+00   .00136   1.3985   1.5985
 -62.0    20.5515   0.13490E-08     3.252   0.6728E+00   .00131   1.4339   1.5964
 -62.0    29.2979   0.51013E-08     4.895   0.1087E+01   .00162   1.2578   1.6690
 -62.0    30.9759   0.36226E-08     5.497   0.6980E+00   .00166   1.2429   1.6801
 -61.0    28.6807   0.23253E-08     5.215   0.5553E+00   .00156   1.2825   1.6588
 -56.0    34.5501   0.39622E-08     6.475   0.5686E+00   .00177   1.2028   1.7132
 -52.0    51.6959   0.13050E-07    14.792   0.6567E+00   .00229   1.1092   1.8146
 -52.0    45.7019   0.24662E-08    10.817   0.1738E+00   .00212   1.1314   1.7862
 -47.0    69.6670   0.57195E-08    23.137   0.5362E-01   .00459   1.0479   1.8918
 -43.0    76.5059   0.60612E-08    28.867   0.3065E-01   .00621   1.0403   1.9028
 -41.0    66.8835   0.15029E-07    25.221   0.2926E+00   .00296   1.0691   1.8632
 -48.0    71.8412   0.22311E-07    25.064   0.1605E+00   .00534   1.0414   1.8985
 -44.0    83.6494   0.19532E-07    36.132   0.5908E-01   .00742   1.0351   1.9116
 -44.0   101.4023   0.24839E-07    51.781   0.1494E-01   .01880   1.0305   1.9208
 -42.0    99.6142   0.10043E-06    53.918   0.1758E+00   .00800   1.0338   1.9149
 -39.0    94.1060   0.37125E-07    44.889   0.2972E-01   .01659   1.0304   1.9203
 -38.0    94.9625   0.34632E-07    45.392   0.2446E-01   .01775   1.0304   1.9206
 -36.0    72.9253   0.11047E-07    25.791   0.6876E-01   .00543   1.0415   1.9003
 -33.0   102.5659   0.49491E-07    53.363   0.2536E-01   .01951   1.0304   1.9213
 -33.0   102.7510   0.46351E-07    54.356   0.2716E-01   .01751   1.0306   1.9210
 -30.0   111.8120   0.25746E-07    64.788   0.1079E-01   .01948   1.0306   1.9216
 -28.0   122.5811   0.74559E-07    75.639   0.2128E-01   .02215   1.0307   1.9220
 -28.0   105.6034   0.35481E-07    56.697   0.1563E-01   .02114   1.0304   1.9215
 -34.0   101.8674   0.98657E-07    53.317   0.5633E-01   .01868   1.0304   1.9211
 -37.0    91.9786   0.12129E-06    47.063   0.4231E+00   .00544   1.0383   1.9078
 -48.0    80.4389   0.74365E-08    31.201   0.1640E-01   .01044   1.0319   1.9154
 -39.0    98.6337   0.78108E-07    49.629   0.4757E-01   .01872   1.0304   1.9210
 -17.0   116.0734   0.10117E-06    69.694   0.3471E-01   .02166   1.0305   1.9217
 -27.0   111.0441   0.18061E-06    67.163   0.1338E+00   .01265   1.0314   1.9197
 -21.0   124.6735   0.47113E-06    82.870   0.2256E+00   .01498   1.0311   1.9208
 -21.0   112.0195   0.98976E-06    71.327   0.8239E+00   .01227   1.0315   1.9193
 -22.0   121.9409   0.65243E-06    81.757   0.4164E+00   .01285   1.0315   1.9200
 -22.0   123.3618   0.55704E-06    82.358   0.3293E+00   .01325   1.0314   1.9202
 -22.0   118.2635   0.20091E-06    76.973   0.1883E+00   .00990   1.0325   1.9181
 -28.0   112.1516   0.32920E-06    69.313   0.3737E+00   .00926   1.0329   1.9172
 -29.0   119.8319   0.95682E-06    78.807   0.7085E+00   .01145   1.0318   1.9201
 -29.0   120.0355   0.59861E-06    76.862   0.2584E+00   .01728   1.0308   1.9213
 -30.0   108.3674   0.65346E-06    64.414   0.3912E+00   .01632   1.0307   1.9206
 -31.0   108.9505   0.50430E-06    64.616   0.2818E+00   .01706   1.0306   1.9209
 -33.0   107.8282   0.28351E-06    63.461   0.2462E+00   .01214   1.0316   1.9194
 -33.0   114.3828   0.33929E-06    72.632   0.3061E+00   .01052   1.0321   1.9188
 -34.0   111.2014   0.33229E-06    68.522   0.2488E+00   .01311   1.0313   1.9199
 -38.0    95.8726   0.10081E-06    51.033   0.2234E+00   .00740   1.0348   1.9132
 -38.0    98.7649   0.12959E-06    54.567   0.2554E+00   .00764   1.0343   1.9142
 -39.0    92.1570   0.90339E-07    44.947   0.1626E+00   .00915   1.0330   1.9159
 -42.0    93.7765   0.14477E-06    47.119   0.1924E+00   .01124   1.0317   1.9178
 -43.0    94.2569   0.14583E-06    47.012   0.1688E+00   .01218   1.0314   1.9187
 -44.0    77.9214   0.67300E-07    31.619   0.4020E+00   .00484   1.0418   1.9007
 -44.0    80.6256   0.79404E-07    35.140   0.4332E+00   .00484   1.0415   1.9013
 -49.0    64.5667   0.30730E-07    22.300   0.5232E+00   .00322   1.0631   1.8662
 -49.0    64.4916   0.20568E-07    21.980   0.3472E+00   .00327   1.0629   1.8669
 -43.0    79.0360   0.18683E-07    31.571   0.6230E-01   .00685   1.0351   1.9095
 -45.0    83.1703   0.23844E-07    35.249   0.6120E-01   .00757   1.0343   1.9123
 -45.0    75.4793   0.27611E-07    31.992   0.2356E+00   .00367   1.0497   1.8872
 -45.0    86.0680   0.38646E-07    39.012   0.8271E-01   .00800   1.0339   1.9123
 -43.0    70.6674   0.71924E-07    26.840   0.8254E+00   .00373   1.0527   1.8831
 -34.0   103.4546   0.69428E-07    54.850   0.3986E-01   .01794   1.0306   1.9211
 -35.0    95.6965   0.46967E-07    45.970   0.3540E-01   .01687   1.0305   1.9205
 -43.0    80.9155   0.26222E-07    32.324   0.8379E-01   .00725   1.0346   1.9124
 -44.0    73.0534   0.32879E-07    25.385   0.1884E+00   .00560   1.0387   1.9040
 -37.0    88.6721   0.30125E-07    39.631   0.4270E-01   .01166   1.0315   1.9181
 -21.0   109.3549   0.26646E-07    61.340   0.1146E-01   .01949   1.0306   1.9216
 -22.0   115.0792   0.14146E-07    67.740   0.5042E-02   .02033   1.0306   1.9220
 -22.0   118.5611   0.89683E-08    71.927   0.3087E-02   .02024   1.0306   1.9217
 -21.0   102.2742   0.50654E-07    54.849   0.3455E-01   .01566   1.0307   1.9205
 -20.0   149.7929   0.45454E-07   105.560   0.1023E-01   .01777   1.0311   1.9220
 -20.0   143.5170   0.24383E-07    98.952   0.6168E-02   .01802   1.0310   1.9218
 -12.0   149.8978   0.26249E-07   103.339   0.4681E-02   .02144   1.0310   1.9222
  -5.0   119.1457   0.67691E-07    72.964   0.4833E-01   .00933   1.0321   1.9209
  -5.0   126.6317   0.91363E-07    83.365   0.2351E-01   .02269   1.0306   1.9219
  -5.0   130.8663   0.94343E-07    89.285   0.1380E+00   .00448   1.0354   1.9184
  -4.0   138.8853   0.58445E-07    98.592   0.7180E-01   .00484   1.0348   1.9185
  -4.0   145.5649   0.16638E-06   102.548   0.2606E-01   .02702   1.0306   1.9224
