 Temp.     Deff        IWC         V_mass      V_N       N          Dmean   Beff
(deg. C)   (um)      (g/cm3)       (cm/s)     (cm/s)   (#/cm3)      (cm)

 -65.0    28.1837   0.29813E-08     4.391     0.936   0.6959E+00   .00160   1.2708
 -65.0    23.8164   0.14510E-08     3.586     0.727   0.5127E+00   .00144   1.3505
 -65.0    22.6470   0.16917E-08     3.377     0.688   0.6622E+00   .00141   1.3729
 -65.0    19.4750   0.17763E-08     2.818     0.574   0.9508E+00   .00131   1.4480
 -65.0    18.2767   0.28488E-08     2.523     0.545   0.1708E+01   .00129   1.4741
 -65.0    18.5739   0.23587E-08     2.728     0.534   0.1406E+01   .00128   1.4767
 -64.0    15.1180   0.17532E-08     2.091     0.426   0.1589E+01   .00118   1.5908
 -65.0    16.4280   0.15559E-08     2.375     0.462   0.1205E+01   .00121   1.5474
 -65.0    17.0778   0.10631E-08     2.344     0.492   0.7479E+00   .00124   1.5175
 -48.0    48.3078   0.97887E-09    10.783     1.835   0.5715E-01   .00230   1.1105
 -55.0    35.5514   0.24309E-08     6.422     1.232   0.3306E+00   .00182   1.1924
 -63.0    21.1058   0.20076E-08     3.240     0.611   0.9339E+00   .00134   1.4163
 -64.0    26.9570   0.43039E-08     4.211     0.887   0.1090E+01   .00156   1.2862
 -62.0    23.5551   0.34769E-08     3.590     0.724   0.1237E+01   .00143   1.3520
 -62.0    24.4857   0.20230E-08     3.832     0.728   0.6960E+00   .00143   1.3469
 -62.0    21.6499   0.16667E-08     3.235     0.639   0.7297E+00   .00136   1.3985
 -62.0    20.5515   0.13490E-08     3.252     0.577   0.6728E+00   .00131   1.4339
 -62.0    29.2979   0.51013E-08     4.895     0.968   0.1087E+01   .00162   1.2578
 -62.0    30.9759   0.36226E-08     5.497     1.017   0.6980E+00   .00166   1.2429
 -61.0    28.6807   0.23253E-08     5.215     0.883   0.5553E+00   .00156   1.2825
 -56.0    34.5501   0.39622E-08     6.475     1.182   0.5686E+00   .00177   1.2028
 -52.0    51.6959   0.13050E-07    14.792     1.849   0.6567E+00   .00229   1.1092
 -52.0    45.7019   0.24662E-08    10.817     1.633   0.1738E+00   .00212   1.1314
 -47.0    69.6670   0.57195E-08    23.137     5.086   0.5362E-01   .00459   1.0479
 -43.0    76.5059   0.60612E-08    28.867     7.382   0.3065E-01   .00621   1.0403
 -41.0    66.8835   0.15029E-07    25.221     2.788   0.2926E+00   .00296   1.0691
 -48.0    71.8412   0.22311E-07    25.064     6.305   0.1605E+00   .00534   1.0414
 -44.0    83.6494   0.19532E-07    36.132     9.725   0.5908E-01   .00742   1.0351
 -44.0   101.4023   0.24839E-07    51.781    25.814   0.1494E-01   .01880   1.0305
 -42.0    99.6142   0.10043E-06    53.918    10.385   0.1758E+00   .00800   1.0338
 -39.0    94.1060   0.37125E-07    44.889    24.772   0.2972E-01   .01659   1.0304
 -38.0    94.9625   0.34632E-07    45.392    26.970   0.2446E-01   .01775   1.0304
 -36.0    72.9253   0.11047E-07    25.791     6.781   0.6876E-01   .00543   1.0415
 -33.0   102.5659   0.49491E-07    53.363    28.965   0.2536E-01   .01951   1.0304
 -33.0   102.7510   0.46351E-07    54.356    25.726   0.2716E-01   .01751   1.0306
 -30.0   111.8120   0.25746E-07    64.788    27.925   0.1079E-01   .01948   1.0306
 -28.0   122.5811   0.74559E-07    75.639    29.781   0.2128E-01   .02215   1.0307
 -28.0   105.6034   0.35481E-07    56.697    30.789   0.1563E-01   .02114   1.0304
 -34.0   101.8674   0.98657E-07    53.317    27.180   0.5633E-01   .01868   1.0304
